product,actual_rating,predicted_eta,num_reviews,category,abs_error,prediction_width,predicted_eta_mean,predicted_eta_hdi_lower,predicted_eta_hdi_upper,predicted_eta_sd,estimated_star_rating,estimated_star_lower,estimated_star_upper
AV16khLE-jtxr-f38VFn,1.0,0.533,1,Personal Care,0.46699999999999997,1.103,1.942,1.602,2.318,0.188,5.0,4.8563151796060255,5.0
AV1YGDqsGV-KLJ3adc-O,4.466666666666667,2.341,45,Household Essentials,2.1256666666666666,0.401,2.648,2.334,2.959,0.157,5.0,5.0,5.0
AV1YmDL9vKc47QAVgr7_,4.5,1.973,12,Personal Care,2.527,0.577,1.75,1.381,2.081,0.181,5.0,4.6002317497103125,5.0
AV1Ymf_rglJLPUi8II2v,5.0,2.491,2,Movies,2.509,1.042,0.86,0.541,1.156,0.16,3.996523754345307,3.626882966396292,4.339513325608343
AV1Yn94nvKc47QAVgtst,4.0,1.202,1,Personal Care,2.798,1.043,2.967,2.451,3.439,0.261,5.0,5.0,5.0
AV1YnUMYglJLPUi8IJpK,5.0,1.987,1,Home,3.013,1.108,2.945,1.612,4.245,0.674,5.0,4.867902665121669,5.0
AV1Ynb3bglJLPUi8IJxJ,5.0,2.192,1,Food,2.808,1.059,2.235,1.56,3.127,0.417,5.0,4.807647740440324,5.0
AV1YneDPglJLPUi8IJyQ,4.666666666666667,1.825,3,Household Essentials,2.841666666666667,0.818,1.466,1.114,1.758,0.16,4.698725376593279,4.290845886442642,5.0
AV1YqAaMGV-KLJ3adiDj,1.8,-0.718,5,Personal Care,2.518,0.791,0.997,0.667,1.309,0.163,4.155272305909618,3.772885283893395,4.516801853997682
AV1Ys0kTvKc47QAVgx1C,5.0,2.416,3,Home,2.584,0.892,2.714,2.306,3.152,0.218,5.0,5.0,5.0
AV1YtGjdglJLPUi8IOfJ,4.333333333333333,1.5200000000000002,6,Personal Care,2.8133333333333326,0.706,-0.488,-1.246,0.09,0.336,2.4345307068366164,1.556199304750869,3.104287369640788
AV1ZSp2uglJLPUi8IQFy,4.0,1.146,1,Personal Care,2.854,0.985,2.132,1.837,2.415,0.155,5.0,5.0,5.0
AV1ZT7GLglJLPUi8IQLI,3.0,0.307,6,Personal Care,2.693,0.717,1.774,1.303,2.362,0.267,5.0,4.509849362688296,5.0
AV1d76w7vKc47QAVhCqn,5.0,1.887,1,Personal Care,3.113,1.015,1.414,0.08,2.93,0.745,4.638470451911935,3.0926998841251447,5.0
AV1h6gSl-jtxr-f31p40,5.0,1.99,1,Personal Care,3.01,1.028,-3.331,-4.045,-2.71,0.347,1.0,1.0,1.0
AV1l8zRZvKc47QAVhnAv,4.733333333333333,2.31,75,Personal Care,2.4233333333333333,0.3,2.31,1.701,2.861,0.3,5.0,4.971031286210892,5.0
AVpe-PJnLJeJML43ziaj,5.0,2.2,1,Food,2.8,1.095,0.708,0.408,0.995,0.158,3.8203939745075317,3.472769409038239,4.152954808806489
AVpe-ltS1cnluZ0-bL8w,5.0,1.502,2,Health,3.498,1.007,1.559,1.223,1.845,0.168,4.80648899188876,4.417149478563152,5.0
AVpe31o71cnluZ0-YrSD,4.03030303030303,0.821,33,Movies,3.2093030303030305,0.319,0.989,-0.388,2.377,0.712,4.1460023174971035,2.5504055619930472,5.0
AVpe38Uy1cnluZ0-YuJR,3.5,1.466,2,Movies,2.034,1.008,2.457,1.271,3.477,0.594,5.0,4.472769409038238,5.0
AVpe41TqilAPnD_xQH3d,4.359550561797753,1.314,89,Movies & TV Shows,3.0455505617977527,0.247,1.084,0.096,2.176,0.529,4.256083429895712,3.1112398609501737,5.0
AVpe4hlXLJeJML43xbrB,4.5,1.723,2,Food,2.777,0.924,2.341,1.587,3.093,0.401,5.0,4.838933951332561,5.0
AVpe59io1cnluZ0-ZgDU,4.44,1.607,75,Movies,2.833,0.265,2.563,2.092,3.131,0.259,5.0,5.0,5.0
AVpe5AMsLJeJML43xnku,5.0,2.267,1,Movies,2.733,0.987,1.949,-0.228,4.105,1.12,5.0,2.735805330243337,5.0
AVpe5JOgilAPnD_xQPfE,5.0,2.68,3,Movies,2.32,1.011,2.304,1.91,2.637,0.188,5.0,5.0,5.0
AVpe5c23LJeJML43xybi,3.7142857142857144,1.167,7,Home,2.5472857142857146,0.726,1.841,1.461,2.288,0.215,5.0,4.692931633835458,5.0
AVpe5s3RLJeJML43x4eA,4.3125,1.376,16,Personal Care,2.9365,0.465,2.992,2.16,3.817,0.448,5.0,5.0,5.0
AVpe6C3WLJeJML43yApY,3.0,0.26,1,Holiday Shop,2.74,1.065,2.046,0.48,3.633,0.829,5.0,3.5561993047508693,5.0
AVpe6CHv1cnluZ0-ZhwN,1.0,0.896,1,Food,0.10399999999999998,1.03,2.171,1.696,2.621,0.238,5.0,4.965237543453071,5.0
AVpe6FpaLJeJML43yBuP,4.888888888888889,2.744,9,Movies,2.144888888888889,0.723,1.042,0.367,1.569,0.329,4.207415990730012,3.425260718424102,4.818076477404404
AVpe6_VI1cnluZ0-Z4do,5.0,1.504,1,Home Improvement,3.496,1.143,1.127,-0.739,3.069,0.964,4.305909617612978,2.1436848203939745,5.0
AVpe6n2_LJeJML43yOgE,4.75,1.968,4,Personal Care,2.782,0.831,0.844,0.476,1.217,0.19,3.977983777520278,3.5515643105446117,4.410196987253766
AVpe71Vk1cnluZ0-aL_Z,5.0,1.972,1,Personal Care,3.028,1.028,1.506,0.513,2.553,0.539,4.745075318655852,3.5944380069524913,5.0
AVpe78stLJeJML43ytOY,3.4,1.076,5,Personal Care,2.324,0.764,3.194,2.322,4.107,0.48,5.0,5.0,5.0
AVpe7jB8LJeJML43yj91,5.0,2.187,2,Personal Care,2.813,0.925,0.634,0.082,1.127,0.266,3.7346465816917727,3.0950173812282733,4.305909617612978
AVpe7sl91cnluZ0-aI1Y,5.0,3.171,4,Food & Beverage,1.8290000000000002,0.961,1.725,1.188,2.302,0.279,4.998841251448436,4.376593279258401,5.0
AVpe7tA31cnluZ0-aI-r,5.0,2.186,2,Personal Care,2.814,0.869,1.723,1.014,2.391,0.353,4.996523754345307,4.174971031286211,5.0
AVpe7zdzLJeJML43yp3d,4.5,1.696,2,Food,2.8040000000000003,0.887,1.404,0.934,1.946,0.258,4.626882966396292,4.082271147161066,5.0
AVpe8gsILJeJML43y6Ed,4.04,0.634,50,School & Office Supplies,3.406,0.266,1.314,0.852,1.794,0.247,4.5225955967555045,3.9872537659327927,5.0
AVpe8q4T1cnluZ0-afct,3.0,1.099,1,Food,1.901,1.066,1.827,0.525,3.173,0.674,5.0,3.608342989571263,5.0
AVpe8xjUilAPnD_xRkxC,5.0,2.288,1,Household Chemicals,2.712,1.159,2.593,2.01,3.172,0.31,5.0,5.0,5.0
AVpe9W4D1cnluZ0-avf0,4.275,1.723,40,Home,2.5520000000000005,0.353,1.655,0.758,2.592,0.465,4.917728852838934,3.8783314020857476,5.0
AVpe_N91LJeJML43z4jD,3.0,1.131,2,Home,1.869,0.998,0.138,-1.63,1.663,0.841,3.159907300115875,1.111239860950174,4.926998841251448
AVpe_dxlilAPnD_xSiHI,5.0,1.888,1,Personal Care,3.112,1.008,0.757,0.158,1.283,0.292,3.877172653534183,3.183082271147161,4.486674391657011
AVpe_pDG1cnluZ0-bjSf,3.0,1.17,1,Household Chemicals,1.83,0.986,-0.167,-0.864,0.672,0.405,2.8064889918887603,1.9988412514484357,3.7786790266512167
AVpe_y-I1cnluZ0-bmvh,5.0,2.67,5,Personal Care,2.33,0.788,-0.531,-0.914,-0.213,0.182,2.384704519119351,1.94090382387022,2.753186558516802
AVpf--o9LJeJML43G_Fq,5.0,3.247,12,Personal Care,1.7530000000000001,0.811,2.491,0.518,4.681,1.042,5.0,3.600231749710313,5.0
AVpf-GsfLJeJML43GxG4,3.5,0.761,2,Household Essentials,2.739,0.866,2.006,1.042,3.011,0.501,5.0,4.207415990730012,5.0
AVpf-Wet1cnluZ0-uYLu,5.0,2.614,4,Music on CD or Vinyl,2.386,0.936,1.749,1.16,2.451,0.334,5.0,4.3441483198146,5.0
AVpf-k78LJeJML43G4qN,5.0,1.339,1,Auto & Tires,3.661,1.252,1.215,0.208,2.284,0.549,4.407879490150638,3.2410196987253768,5.0
AVpf0O60ilAPnD_xizE6,4.0,1.245,2,Personal Care,2.755,0.967,2.257,1.709,2.777,0.281,5.0,4.9803012746234065,5.0
AVpf0YhQLJeJML43ETff,5.0,2.575,4,Personal Care,2.425,0.913,2.209,1.189,3.258,0.522,5.0,4.377752027809965,5.0
AVpf0eb2LJeJML43EVSt,4.7176470588235295,2.257,85,Movies,2.4606470588235294,0.281,3.136,1.474,4.649,0.836,5.0,4.707995365005794,5.0
AVpf0kZFilAPnD_xi5QZ,5.0,2.245,1,Food,2.755,1.147,1.54,0.817,2.23,0.367,4.784472769409039,3.9466975666280417,5.0
AVpf0pfrilAPnD_xi6s_,5.0,1.984,1,Home,3.016,1.015,2.195,1.274,3.231,0.535,5.0,4.4762456546929315,5.0
AVpf0thK1cnluZ0-r8vR,4.647058823529412,1.867,17,Movies,2.780058823529412,0.473,1.164,0.664,1.599,0.251,4.348783314020857,3.7694090382387024,4.8528389339513325
AVpf1pwXLJeJML43EqpT,4.0,1.151,1,Personal Care,2.849,1.022,1.703,0.175,3.521,0.882,4.973348783314021,3.2027809965237544,5.0
AVpf2tw1ilAPnD_xjflC,4.597402597402597,1.7740000000000002,77,Movies & TV Shows,2.8234025974025974,0.267,0.821,0.236,1.425,0.319,3.951332560834299,3.273464658169177,4.651216685979143
AVpf385g1cnluZ0-s0_t,4.392857142857143,1.5400000000000003,28,Food,2.852857142857143,0.367,1.931,-0.152,3.701,0.987,5.0,2.8238702201622248,5.0
AVpf3VOfilAPnD_xjpun,4.81555333998006,2.648,1003,Household Essentials,2.1675533399800595,0.157,1.34,-0.764,3.055,0.933,4.552723059096176,2.1147161066048668,5.0
AVpf3okQLJeJML43FMif,3.5,1.425,2,Food,2.075,0.886,1.867,1.008,2.769,0.473,5.0,4.168018539976825,5.0
AVpf5CnILJeJML43FjaU,5.0,1.362,1,Auto & Tires,3.638,1.203,0.11,-1.317,1.414,0.752,3.127462340672074,1.4739281575898031,4.638470451911935
AVpf5FF71cnluZ0-tHAV,4.666666666666667,1.72,3,Personal Care,2.946666666666667,0.8,2.028,0.065,3.971,0.991,5.0,3.0753186558516803,5.0
AVpf5Z1zLJeJML43FpB-,4.631578947368421,2.522,19,Household Chemicals,2.1095789473684214,0.589,2.769,0.839,4.865,1.037,5.0,3.9721900347624564,5.0
AVpf5olc1cnluZ0-tPrO,4.846153846153846,2.583,13,Food,2.2631538461538456,0.599,1.607,1.089,2.127,0.265,4.862108922363847,4.261877172653534,5.0
AVpf63aJLJeJML43F__Q,4.712962962962963,2.563,108,Personal Care,2.1499629629629626,0.259,1.626,-0.284,3.564,1.02,4.884125144843569,2.670915411355736,5.0
AVpf7I3i1cnluZ0-tnL6,4.75,2.046,4,Household Essentials,2.704,0.829,2.744,1.356,4.114,0.723,5.0,4.571263035921206,5.0
AVpf7LysilAPnD_xkm9G,4.833333333333333,2.457,12,Kitchen & Dining,2.376333333333333,0.594,0.492,-0.799,2.138,0.756,3.5701042873696407,2.074159907300116,5.0
AVpf7aUAilAPnD_xkqbP,5.0,2.518,2,Household Chemicals,2.482,0.984,2.116,1.568,2.687,0.304,5.0,4.8169177288528395,5.0
AVpf9_3MLJeJML43GvdB,5.0,2.176,2,Personal Care,2.824,0.86,1.224,0.331,2.168,0.488,4.418308227114716,3.3835457705677867,5.0
AVpf9pzn1cnluZ0-uNTM,4.833333333333333,2.9919999999999995,48,Food,1.8413333333333335,0.448,2.522,1.433,3.704,0.589,5.0,4.660486674391657,5.0
AVpfAgSp1cnluZ0-b2-K,5.0,3.228,8,Household Chemicals,1.7719999999999998,0.895,1.309,0.623,2.026,0.374,4.516801853997682,3.7219003476245653,5.0
AVpfAkX91cnluZ0-b4d8,2.6666666666666665,0.138,3,Personal Care,2.5286666666666666,0.841,3.165,1.426,5.153,0.995,5.0,4.652375434530707,5.0
